"user","weekday","daytime","stress","valence","arousal","n_traj","speed","accuracy","clicks","wheels"
"h8olkrvggts9e3hornrt","Thursday","afternoon",0,7,3,12,0.097124947644417,0.540759434507836,0.0017105713308245,0.0485802257954157
"h8olkrvggts9e3hornrt","Wednesday","morning",0,7,1,15,0.468928507465,0.623598131580468,0.0065252854812398,0.0065252854812398
"h8olkrvggts9e3hornrt","Wednesday","afternoon",0,3,4,18,0.273107183816909,0.615315609413331,0.00568057679702862,0.0104872187022067
"i4fbug0lfnjnamnzfxrl","Friday","morning",0,6,5,111,0.240433480202232,0.621563432444113,0.00829006866521521,0.0282615977223246
"i4fbug0lfnjnamnzfxrl","Friday","afternoon",0,3,4,243,0.223386549569006,0.596473319898578,0.00690886965396769,0.0167422324285069
"i4fbug0lfnjnamnzfxrl","Monday","morning",0,5,2,135,0.275152845128284,0.6116434941902,0.00908567406743874,0.0308720967432337
"i4fbug0lfnjnamnzfxrl","Monday","afternoon",0,1,1,261,0.298204916954713,0.596842599344995,0.00994698146754017,0.00310743060338614
"i4fbug0lfnjnamnzfxrl","Tuesday","afternoon",0,3,3,178,0.260533855185638,0.604540095459892,0.00963578274760383,0.0144664536741214
"1qqgqn6zzmfy4baropsp","Weekend","morning",1,3,5,42,0.337465153639458,0.63565335395552,0.00944538629208041,0
"i4fbug0lfnjnamnzfxrl","Wednesday","afternoon",0,2,1,352,0.288031764561336,0.62553746813576,0.00731271789348375,0.0138176355545478
"i4fbug0lfnjnamnzfxrl","Thursday","morning",0,4,1,219,0.293764217697619,0.655487813534271,0.00939171538748601,0.00366961064809056
"i4fbug0lfnjnamnzfxrl","Thursday","afternoon",0,4,1,288,0.327814343058336,0.625386498768036,0.00806175237038367,0.00533642312776409
"i4fbug0lfnjnamnzfxrl","Monday","morning",0,4,1,196,0.346859327628997,0.637459577463592,0.00931689907038513,0.014027224435591
"i4fbug0lfnjnamnzfxrl","Monday","afternoon",0,3,1,279,0.259532699797845,0.600502929468842,0.00902541120084652,0.00732925633723916
"i4fbug0lfnjnamnzfxrl","Tuesday","morning",0,5,1,351,0.239222403219153,0.599567162100417,0.00841654389698259,0.00357396191411579
"i4fbug0lfnjnamnzfxrl","Tuesday","afternoon",0,3,1,3,0.537967488075865,0.708742825693844,0.00905797101449275,0
"i4fbug0lfnjnamnzfxrl","Thursday","morning",0,4,1,292,0.318778830501884,0.642922855272489,0.00796395263543959,0.0148538195535995
"i4fbug0lfnjnamnzfxrl","Thursday","afternoon",0,2,1,195,0.38317774783938,0.659180325780815,0.00811394210384304,0.0116987241259685
"i4fbug0lfnjnamnzfxrl","Friday","morning",0,5,1,293,0.246315885944362,0.614717337866414,0.00909194042429055,0.0181352608463122
"i4fbug0lfnjnamnzfxrl","Friday","afternoon",0,4,1,223,0.356949606951089,0.648136311670838,0.0110689997166336,0.0140974780391046
"i4fbug0lfnjnamnzfxrl","Monday","morning",0,5,4,45,0.288145301046991,0.646183159819632,0.00735294117647059,0.0116596638655462
"i4fbug0lfnjnamnzfxrl","Monday","afternoon",0,5,2,239,0.266169220144897,0.615686638157948,0.00861972252346584,0.0134063797165401
"i4fbug0lfnjnamnzfxrl","Tuesday","morning",0,5,1,297,0.274081149606108,0.613859049864106,0.00808917825786722,0.0158166452928217
"i4fbug0lfnjnamnzfxrl","Tuesday","afternoon",0,4,1,253,0.269525286344965,0.61800201333369,0.00884206890596667,0.0270097573611951
"i4fbug0lfnjnamnzfxrl","Wednesday","morning",0,5,1,137,0.348518322328566,0.629710041476057,0.0107331060136392,0.011663050216987
"i4fbug0lfnjnamnzfxrl","Wednesday","afternoon",0,5,1,216,0.259569449458764,0.610299801028175,0.00738341675537336,0.0369623808121758
"i4fbug0lfnjnamnzfxrl","Thursday","morning",0,5,1,125,0.307969064523279,0.635741054875161,0.00784144455235423,0.0485953742671127
"04lu0xqp0dbw0fkntpum","Thursday","morning",0,4,3,34,0.276997825338934,0.62775716375731,0.0112630732099759,0.000643604183427192
"1y0lz8rl5msoelqw3ghs","Wednesday","afternoon",0,3,4,107,0.153446359608559,0.590635037118489,0.00641955766609506,0
"i4fbug0lfnjnamnzfxrl","Thursday","afternoon",0,5,1,172,0.376769417030183,0.635951286298741,0.0114165611789152,0.00680694547278416
"i4fbug0lfnjnamnzfxrl","Friday","morning",0,5,1,272,0.285053013214009,0.620621967641893,0.00824274895677709,0.0116428829014476
"i4fbug0lfnjnamnzfxrl","Friday","afternoon",0,4,1,276,0.351567435558621,0.635511300436833,0.00736764042045528,0.00927000709357065
"i4fbug0lfnjnamnzfxrl","Monday","morning",0,5,2,283,0.267611328245699,0.617327446636897,0.00848108656239437,0.0346771963248625
"i4fbug0lfnjnamnzfxrl","Wednesday","morning",0,5,1,84,0.326687983547758,0.643494651371773,0.00821158690176322,0.0154156171284635
"i4fbug0lfnjnamnzfxrl","Wednesday","afternoon",0,4,1,265,0.297998658070426,0.623140300310078,0.00979583568462329,0.013991983909942
"i4fbug0lfnjnamnzfxrl","Thursday","morning",0,5,1,298,0.364536404636351,0.647812585170625,0.0091170363443847,0.00827821399595715
"i4fbug0lfnjnamnzfxrl","Thursday","afternoon",0,4,3,145,0.408518940188558,0.66315040174487,0.0103975213989392,0.0100824449929108
"i4fbug0lfnjnamnzfxrl","Friday","morning",0,4,1,238,0.258499495902157,0.62073029910638,0.00935314323552539,0.0178785746802963
"i4fbug0lfnjnamnzfxrl","Friday","afternoon",0,4,1,315,0.351831809552729,0.641272617868198,0.00787412209616424,0.00598325229605619
"1y0lz8rl5msoelqw3ghs","Thursday","morning",0,5,3,322,0.19132599703516,0.615496980419514,0.00714029483609778,0.0134264874190738
"i4fbug0lfnjnamnzfxrl","Monday","morning",0,4,1,308,0.182278372083318,0.58997276259348,0.00903827795399255,0.00751393465340437
"i4fbug0lfnjnamnzfxrl","Monday","afternoon",0,3,1,31,0.329952722821494,0.631175464686365,0.00753113836052911,0.000386212223616877
"i4fbug0lfnjnamnzfxrl","Tuesday","morning",0,4,1,223,0.273826646859547,0.610709866447955,0.00876436781609195,0.0302262931034483
"i4fbug0lfnjnamnzfxrl","Tuesday","afternoon",0,4,1,102,0.318781168205872,0.63631095052067,0.00958018889240363,0.0279271544127615
"i4fbug0lfnjnamnzfxrl","Wednesday","morning",0,5,2,36,0.273326772636534,0.612895023531022,0.00781365177650007,0.0493881763231608
"i4fbug0lfnjnamnzfxrl","Wednesday","afternoon",0,3,1,231,0.273385524113087,0.627673137274688,0.0096271552171297,0.0159553499180447
"i4fbug0lfnjnamnzfxrl","Thursday","morning",0,5,1,240,0.301236418893952,0.629927943030951,0.00931953260825618,0.022116201026968
"i4fbug0lfnjnamnzfxrl","Thursday","afternoon",0,5,1,9,0.189298095893186,0.651102080136455,0.00471105527638191,0.0053391959798995
"i4fbug0lfnjnamnzfxrl","Friday","morning",0,5,1,265,0.39183267361284,0.654405825931015,0.00839697355395276,0.026817281855466
"i4fbug0lfnjnamnzfxrl","Friday","afternoon",0,5,1,214,0.203732063335008,0.604285779900528,0.00808465105219356,0.0243252883129236
"1y0lz8rl5msoelqw3ghs","Thursday","afternoon",0,3,4,23,0.170982243796507,0.620513571362397,0.00329503962953068,0
"i4fbug0lfnjnamnzfxrl","Monday","morning",0,5,1,7,0.563261113200629,0.721848880294953,0.0106007067137809,0
"i4fbug0lfnjnamnzfxrl","Monday","afternoon",0,5,1,219,0.304141935091134,0.638303505980774,0.00913796984019806,0.0260634706279541
"i4fbug0lfnjnamnzfxrl","Tuesday","morning",0,5,1,119,0.37151071142412,0.670571680783793,0.00883049752315313,0.0374757699763084
"i4fbug0lfnjnamnzfxrl","Tuesday","afternoon",0,5,2,127,0.251279823560214,0.618842067773717,0.00640532219045525,0.029360017594018
"i4fbug0lfnjnamnzfxrl","Thursday","morning",0,6,1,67,0.40174437268812,0.653600856312235,0.00894240247852415,0.0218279115617519
"i4fbug0lfnjnamnzfxrl","Thursday","afternoon",0,5,1,227,0.266559431826194,0.619524075348353,0.0106907894736842,0.0138363486842105
"1y0lz8rl5msoelqw3ghs","Weekend","morning",0,4,2,54,0.1688700286746,0.504201744632004,0.00812320189541378,0
"i4fbug0lfnjnamnzfxrl","Wednesday","afternoon",0,5,1,164,0.201488990125672,0.588288274373684,0.008350622406639,0.0176607883817427
"i4fbug0lfnjnamnzfxrl","Thursday","morning",0,4,1,241,0.346851677959375,0.654957304093236,0.00905869164285973,0.00674429537482371
"i4fbug0lfnjnamnzfxrl","Thursday","afternoon",0,5,1,53,0.272164180912937,0.647364662348802,0.00764266304347826,0.00602921195652174
"i6ejrlbjf0hpdbbbzpdb","Wednesday","afternoon",0,4,1,50,0.122000178423426,0.540475746115559,0.00691509796388782,0.00138301959277756
"i6ejrlbjf0hpdbbbzpdb","Thursday","morning",0,7,1,102,0.311393729738708,0.663059485101448,0.00540050294760275,0.0112132580286103
"i6ejrlbjf0hpdbbbzpdb","Thursday","afternoon",0,4,2,95,0.312219945367499,0.642177513095456,0.0057037481773737,0.0156960288189382
"i6ejrlbjf0hpdbbbzpdb","Friday","morning",0,5,5,154,0.399666082938614,0.638733747775703,0.0064143681847338,0.0166239042121018
"i6ejrlbjf0hpdbbbzpdb","Friday","afternoon",1,3,5,17,0.347493856134982,0.666237689977072,0.00590841949778434,0.0353028064992615
"i6ejrlbjf0hpdbbbzpdb","Monday","morning",0,7,1,117,0.375797038735249,0.670154715457633,0.00673124866443479,0.00423819360353302
"i6ejrlbjf0hpdbbbzpdb","Monday","afternoon",0,4,4,139,0.37043216959231,0.645986507625647,0.00668783544552786,0.0110995588276618
"1y0lz8rl5msoelqw3ghs","Monday","afternoon",1,2,6,185,0.193399188259581,0.621632605580687,0.00310907337806726,0.00104291701922509
"i6ejrlbjf0hpdbbbzpdb","Tuesday","morning",0,4,5,61,0.25696518939053,0.617895424381366,0.00396825396825397,0.0109503717098654
"i6ejrlbjf0hpdbbbzpdb","Tuesday","afternoon",1,3,6,102,0.382722280218499,0.624714990457783,0.0034277648956548,0.0232886379675371
"i6ejrlbjf0hpdbbbzpdb","Wednesday","morning",0,6,3,58,0.373917473770251,0.619446449856493,0.00407512402551382,0.0239782660051973
"i6ejrlbjf0hpdbbbzpdb","Wednesday","afternoon",1,3,5,115,0.339492285432996,0.619856168173398,0.00535638970898355,0.0116828342471531
"i6ejrlbjf0hpdbbbzpdb","Thursday","morning",1,3,7,182,0.322239603251703,0.613270611848889,0.00401835708482466,0.0284578731253156
"i6ejrlbjf0hpdbbbzpdb","Thursday","afternoon",0,5,3,87,0.435895956567585,0.647952190773022,0.00576822233875197,0.0108547456738332
"i6ejrlbjf0hpdbbbzpdb","Friday","afternoon",0,6,1,31,0.399274190707391,0.673647513174464,0.0171198388721047,0
"i6ejrlbjf0hpdbbbzpdb","Monday","morning",1,3,5,172,0.311535141604652,0.594099851773138,0.00298699412972681,0.0192080316953266
"i6ejrlbjf0hpdbbbzpdb","Monday","afternoon",0,5,5,107,0.427467245204467,0.648974087189455,0.005450592522277,0.0181890559451266
"i6ejrlbjf0hpdbbbzpdb","Tuesday","morning",0,5,4,140,0.299854503964574,0.618143041764076,0.00447070094204056,0.0192932034701155
"i6ejrlbjf0hpdbbbzpdb","Tuesday","afternoon",0,4,5,175,0.363572092964031,0.621622338785449,0.00709295390644969,0.0202138536252876
"i6ejrlbjf0hpdbbbzpdb","Wednesday","morning",0,4,5,94,0.430777743778892,0.641625214436586,0.00532844164919637,0.00921558350803634
